Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Description,unit1,combined1,unit2,combined2,unit3,combined3,unit4,combined4,unit5,combined5,unit6,combined6,unit7,combined7,unit8,combined8,unit9,combined9,unit10,combined10,unit11,combined11,unit12,combined12,unit13,combined13,unit14,combined14,unit15,combined15
Spritz,Http://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,Old-fashioned Glass,Prosecco,,,,,,,Campari,Soda Water,,,,,,,"Build into glass over ice, garnish and serve.","Spritz: A popular Italian aperitif, the Spritz is a refreshing and effervescent cocktail that combines prosecco, Aperol (or Campari), and soda water. It's a light and citrusy drink with a bitter-sweet taste profile, perfect for sipping on warm summer afternoons. Garnished with a slice of orange, the Spritz adds a touch of elegance to any gathering.",ml,60,ml,40,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Stinger,Http://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,Cocktail Glass,Brandy,,,,,,,White Creme De Menthe,,,,,,,,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.","Stinger: A classic cocktail that dates back to the early 20th century, the Stinger mixes brandy and crème de menthe. It's a simple yet sophisticated drink with a cool and minty flavor. The Stinger is often enjoyed as an after-dinner digestif, providing a refreshing and minty finish to a meal.",ml,45,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Stone Sour,Http://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg,Whiskey Sour Glass,Apricot Brandy,,,,,,,Orange Juice,Sweet And Sour,,,,,,,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.","Stone Sour: A vibrant and fruity cocktail that combines whiskey, orange juice, and lemon juice. The Stone Sour offers a balanced blend of citrusy tang and the smoothness of whiskey. It's a versatile drink that can be enjoyed on its own or as a base for creative variations, making it a go-to choice for whiskey enthusiasts.",ml,30,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Strawberry Daiquiri,Http://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,Cocktail Glass,Strawberry Schnapps,,,,,,,Light Rum,Lime Juice,Powdered Sugar,Strawberries,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,"Strawberry Daiquiri: A classic frozen cocktail that features fresh strawberries, rum, lime juice, and simple syrup. The Strawberry Daiquiri is a sweet and refreshing drink with a vibrant red color. Blended with ice, it offers a smooth and fruity texture, making it a popular choice for summer parties or beachside lounging.",ml,15,ml,30,ml,30,ml,5,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Strawberry Lemonade,Http://www.thecocktaildb.com/images/media/drink/spvvxp1468924425.jpg,Collins Glass,Lemon,,,,,,,Sugar,Strawberries,Water,,,,,,Throw everything into a blender and mix until fairly smooth. Serve over ice.,"Strawberry Lemonade: A delightful and thirst-quenching beverage that combines fresh strawberries, lemon juice, sugar, and water. Strawberry Lemonade is a perfect balance of tart and sweet, with the natural sweetness of strawberries complementing the citrusy tang of lemons. It's a vibrant and summery drink that brings a burst of fruity flavor to any occasion.",, ,ml,15,ripe , 10,ml,240,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Strawberry Margarita,Http://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,Cocktail Glass,Strawberry Schnapps,,,,,,,Tequila,Triple Sec,Lemon Juice,Strawberries,Salt,,,,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.","Strawberry Margarita: A fruity twist on the classic Margarita, the Strawberry Margarita adds fresh strawberries or strawberry puree to the mix of tequila, lime juice, and orange liqueur. It's a vibrant and tangy cocktail with a hint of sweetness from the strawberries. Served on the rocks or blended, the Strawberry Margarita is a crowd-pleasing choice for fiestas and gatherings.",ml,15,ml,30,ml,15,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Strawberry Shivers,Http://www.thecocktaildb.com/images/media/drink/9h1vvt1487603404.jpg,Highball Glass,Strawberries,,,,,,,Honey,Water,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","Strawberry Shivers: A creamy and indulgent cocktail that blends strawberries, vanilla ice cream, vodka, and a splash of milk. The Strawberry Shivers offers a luscious and dessert-like experience, reminiscent of a strawberry milkshake with a boozy twist. Garnished with whipped cream and a strawberry, it's a delightful treat for those with a sweet tooth.",ml,360,ml,20,ml,120,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Sunny Holiday Punch,Http://www.thecocktaildb.com/images/media/drink/rywtwy1468924758.jpg,Punch Bowl,Pineapple Juice,,,,,,,Club Soda,Orange Juice,Lemon,Berries,Champagne,,,,Combine all ingredients in a punch bowl.,"Sunny Holiday Punch: A delightful and tropical-inspired punch that captures the flavors of sunshine and vacation. This refreshing concoction combines pineapple juice, orange juice, lemonade, and a splash of grenadine for a vibrant burst of fruity goodness. It's a perfect choice for summer parties or beachside gatherings, bringing a taste of the tropics to your glass.",ml,1380,ml,840,ml,180,, ,ml,480,ml,500,, ,, ,, ,, ,, ,, ,, ,, ,, 
Surf City Lifesaver,Http://www.thecocktaildb.com/images/media/drink/2rzfer1487602699.jpg,Highball Glass,Ouzo,,,,,,,Bailey's Irish Cream,Gin,Grand Marnier,,,,,,Lots of ice and soda top up in tall glass with cherry and a grin.,"Surf City Lifesaver: A cool and invigorating cocktail that blends rum, blue curaçao, pineapple juice, and a splash of lime. The Surf City Lifesaver is a vibrant and visually appealing drink with its blue hue and tropical flavors. Sipping on this cocktail feels like a seaside escape, making it a popular choice for those craving a taste of paradise.",part, 1,part, 1,part, 2,part, 1/2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Swedish Coffee,Http://www.thecocktaildb.com/images/media/drink/ywtrvt1441246783.jpg,Coffee Mug,Coffee,,,,,,,Aquavit,Sugar,,,,,,,Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning),"Swedish Coffee: A cozy and comforting beverage that combines coffee, aquavit (a Scandinavian spirit), and a touch of sugar. Swedish Coffee is a warming drink with a unique twist, adding the herbal and spicy notes of aquavit to the rich and robust flavor of coffee. It's a perfect choice for chilly evenings or as an after-dinner treat.",ml,240,ml,40,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Sweet Bananas,Http://www.thecocktaildb.com/images/media/drink/sxpcj71487603345.jpg,Highball Glass,Milk,,,,,,,Banana,Honey,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","Sweet Bananas: A creamy and fruity cocktail that features ripe bananas, coconut cream, pineapple juice, and a splash of rum. Sweet Bananas is a tropical delight with its smooth and luscious texture, reminiscent of a banana milkshake with a Caribbean twist. Served garnished with a slice of banana or a pineapple wedge, it's a dessert-like drink that satisfies your sweet cravings.",ml,480,, ,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Sweet Sangria,Http://www.thecocktaildb.com/images/media/drink/uqqvsp1468924228.jpg,Pitcher,Red Wine,,,,,,,Sugar,Water,Apple,Orange,Lime,Lemon,Fresca,,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw.","Sweet Sangria: A fruity and refreshing wine-based punch that combines red or white wine, chopped fruits, orange juice, and a touch of brandy or liqueur. Sweet Sangria is a crowd-pleasing drink with its vibrant colors and sweet flavors. It's best enjoyed chilled, allowing the fruits to infuse the wine with their natural sweetness, making it a go-to choice for summer parties or outdoor gatherings.",ml,1400,ml,240,ml,480,ml,240,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Sweet Tooth,Http://www.thecocktaildb.com/images/media/drink/j6rq6h1503563821.jpg,Highball Glass,Godiva Liqueur,,,,,,,Milk,,,,,,,,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like.","Sweet Tooth: A decadent and dessert-inspired cocktail that blends vanilla vodka, chocolate liqueur, and cream. The Sweet Tooth is a creamy and indulgent drink that satisfies your cravings for something sweet. It's like a liquid dessert, combining the flavors of chocolate and vanilla in a smooth and velvety concoction.",ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Talos Coffee,Http://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,Brandy Snifter,Grand Marnier,,,,,,,Coffee,,,,,,,,Add your GM and then add your coffee.,"Talos Coffee: A bold and invigorating coffee cocktail that combines strong coffee, tequila, and a hint of cinnamon. Talos Coffee is a drink that packs a punch, offering a delightful blend of rich coffee flavor with the warmth of tequila and the aromatic touch of cinnamon. It's a perfect choice for coffee lovers who enjoy a spirited twist in their morning brew.",part, 3,part, 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Tennesee Mud,Http://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg,Coffee Mug,Coffee,,,,,,,Jack Daniels,Amaretto,Whipped Cream,,,,,,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.","Tennesee Mud: A rich and boozy cocktail that combines whiskey, coffee liqueur, and cream. Tennesee Mud is a smooth and indulgent drink with its combination of whiskey's warmth, coffee liqueur's deep flavor, and the creamy texture of the cream. Served over ice, it's a perfect nightcap or a treat for whiskey enthusiasts.",ml,240,ml,120,ml,120,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Tequila Fizz,Http://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg,Collins Glass,Tequila,,,,,,,Lemon Juice,Grenadine,Egg White,Ginger Ale,,,,,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.","Tequila Fizz: A refreshing and effervescent cocktail that combines tequila, lemon juice, simple syrup, and soda water. The Tequila Fizz is a zesty and bubbly drink with a citrusy kick from the lemon juice. It's a lighter alternative to margaritas, offering a crisp and invigorating option for tequila lovers.",ml,60,ml,15,ml,22.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Tequila Sour,Http://www.thecocktaildb.com/images/media/drink/ek0mlq1504820601.jpg,Whiskey Sour Glass,Tequila,,,,,,,Lemon,Powdered Sugar,Lemon,Cherry,,,,,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.","Tequila Sour: A tangy and tart cocktail that combines tequila, lime juice, and simple syrup. The Tequila Sour is a classic drink with a bold and refreshing flavor profile. The zingy acidity of the lime juice balances perfectly with the tequila, creating a well-rounded and citrusy cocktail.",ml,60,, ,ml,5,slice , 1/2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Tequila Sunrise,Http://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,Highball Glass,Tequila,,,,,,,Orange Juice,Grenadine,,,,,,,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.","Tequila Sunrise: A vibrant and visually stunning cocktail that features tequila, orange juice, and grenadine. The Tequila Sunrise is an iconic drink known for its beautiful gradient colors, reminiscent of a sunrise. The tequila provides a smooth and slightly earthy base, while the orange juice adds a refreshing citrus note. The grenadine syrup is carefully poured to create a sunrise effect, with its deep red color sinking through the drink. It's a delightful and visually appealing cocktail that's perfect for brunch or anytime you want to add a touch of elegance to your glass.",part, 2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Tequila Surprise,Http://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg,Shot Glass,Tequila,,,,,,,Tabasco Sauce,,,,,,,,Fill shot glass with Tequila. Add drops of Tobasco sauce.,"Tequila Surprise: A playful and adventurous cocktail that combines tequila, grapefruit juice, lime juice, and a pinch of salt. The Tequila Surprise is a tangy and invigorating drink with a twist. The salt rim enhances the flavors and adds a unique savory element to the cocktail, balancing the sweetness of the grapefruit juice. It's a bold and surprising choice for those who enjoy a bit of excitement in their drinks.",, ,ml,8,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Texas Rattlesnake,Http://www.thecocktaildb.com/images/media/drink/rtohqp1504889750.jpg,Highball Glass,Yukon Jack,,,,,,,Cherry Brandy,Southern Comfort,Sweet And Sour,,,,,,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end...","Texas Rattlesnake: A bold and fiery cocktail that combines whiskey, tequila, lime juice, grenadine, and a few dashes of hot sauce. The Texas Rattlesnake is a drink that packs a punch with its combination of spirits and spicy kick. The whiskey and tequila create a robust base, while the lime juice and grenadine add a touch of sweetness. The hot sauce brings the heat, making it a drink for those who like their cocktails with a bit of fire.",part, 1,part, 1/2,part, 1,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Texas Sling,Http://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,Wine Glass,Kahlua,,,,,,,Irish Cream,Amaretto,151 Proof Rum,Cream,,,,,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.","Texas Sling: A refreshing and fruity cocktail that blends gin, cherry brandy, lemon juice, and soda water. The Texas Sling is a vibrant and lively drink with its combination of gin's botanical flavors and the sweetness of cherry brandy. The lemon juice adds a tangy note, and the soda water gives it a sparkling effervescence. It's a delightful choice for those seeking a fruity and invigorating cocktail.",ml,15,ml,15,ml,15,ml,15,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Thai Coffee,Http://www.thecocktaildb.com/images/media/drink/wquwxs1441247025.jpg,Highball Glass,Coffee,,,,,,,Coriander,Cardamom,Sugar,Whipping Cream,Ice,,,,"Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away.","Thai Coffee: A flavorful and aromatic coffee-based cocktail that combines brewed coffee, Thai tea, sweetened condensed milk, and a splash of rum or liqueur. Thai Coffee is a unique and indulgent drink with its combination of rich coffee, the distinct flavor of Thai tea, and the creamy sweetness of condensed milk. Served over ice, it's a delightful blend of cultures and flavors that transports you to the streets of Thailand.",ml,90,ml,1.25,whole green , 5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Thai Iced Coffee,Http://www.thecocktaildb.com/images/media/drink/rqpypv1441245650.jpg,Highball Glass,Coffee,,,,,,,Sugar,Cream,Cardamom,,,,,,"Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee.","Thai Iced Coffee: A refreshing and sweet iced coffee drink that combines strong brewed coffee, sweetened condensed milk, and a hint of cardamom or cinnamon. Thai Iced Coffee is a popular beverage known for its bold flavors and creamy texture. The addition of spices adds a delightful twist to the traditional iced coffee, creating a drink that's both comforting and invigorating.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Thai Iced Tea,Http://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,Highball Glass,Tea,,,,,,,Water,Condensed Milk,Ice,Mint,,,,,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.","Thai Iced Tea: A creamy and fragrant iced tea beverage that combines brewed Thai tea, sweetened condensed milk, and a touch of vanilla or almond extract. Thai Iced Tea is a popular drink known for its vibrant orange color and distinctive flavor. The sweetened condensed milk gives it a rich and creamy texture, while the tea imparts a unique floral and slightly spiced note. Served over ice, it's a delightful treat that's both refreshing and satisfying.",ml,60,ml,120,ml,10,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
The Evil Blue Thing,Http://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg,Old-fashioned Glass,Creme De Cacao,,,,,,,Blue Curacao,Light Rum,,,,,,,"Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun"".","The Evil Blue Thing: A bold and electrifying cocktail that combines vodka, blue curaçao, lemon juice, and a splash of lemon-lime soda. The Evil Blue Thing is a visually striking drink with its intense blue color and vibrant citrus flavors. It's a perfect choice for those looking for a fun and eye-catching cocktail that's sure to make a statement at any gathering.",ml,45,ml,30,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Thriller,Http://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg,Cocktail Glass,Scotch,,,,,,,Wine,Orange Juice,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Thriller: A tantalizing and mysterious cocktail that blends rum, amaretto, orange juice, and grenadine. The Thriller is a smooth criminal.",ml,45,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Tia-maria,Http://www.thecocktaildb.com/images/media/drink/sih81u1504367097.jpg,Collins Glass,Water,,,,,,,Brown Sugar,Coffee,Rum,Vanilla Extract,,,,,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.","Tia-Maria: A rich and indulgent coffee liqueur-based cocktail that combines Tia Maria, vodka, and cream. Tia-Maria is a popular choice for coffee lovers who enjoy a touch of sweetness and a hint of alcohol in their drink. The smooth and velvety texture of the cream complements the robust flavors of the coffee liqueur, creating a delightful and luxurious cocktail.",ml,240,ml,240,ml,20,ml,240,ml,20,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Tom Collins,Http://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg,Collins Glass,Gin,,,,,,,Lemon Juice,Sugar,Club Soda,Maraschino Cherry,Orange,,,,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.","Tom Collins: A classic and refreshing cocktail that features gin, lemon juice, simple syrup, and soda water. The Tom Collins is a timeless drink known for its crisp and citrusy profile. The combination of gin's botanical notes, the tartness of lemon juice, and the sweetness of simple syrup creates a well-balanced and thirst-quenching cocktail. Served over ice and garnished with a lemon wedge, it's a perfect choice for a hot summer day.",ml,60,ml,30,ml,5,ml,90,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Tomato Tang,Http://www.thecocktaildb.com/images/media/drink/869qr81487603278.jpg,Highball Glass,Tomato Juice,,,,,,,Lemon Juice,Celery Salt,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","Tomato Tang: A savory and tangy cocktail that combines tomato juice, vodka, Worcestershire sauce, hot sauce, and various spices. The Tomato Tang is a savory twist on the classic Bloody Mary, featuring bold flavors and a zesty kick. The combination of tomato juice, vodka, and seasonings creates a robust and flavorful drink that's often enjoyed as a brunch or hangover remedy.",ml,480,ml,30,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Tommy's Margarita,Http://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg,Old-fashioned Glass,Tequila,,,,,,,Lime Juice,Agave Syrup,,,,,,,Shake and strain into a chilled cocktail glass.,"Tommy's Margarita: A simple and delicious variation of the classic margarita that combines tequila, fresh lime juice, and agave nectar. Tommy's Margarita is a cocktail that highlights the natural flavors of the ingredients without the addition of triple sec or other sweet liqueurs. The use of agave nectar as a sweetener gives it a subtle sweetness that complements the tartness of the lime juice, resulting in a smooth and well-balanced margarita.",ml,50,ml,50,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Turf Cocktail,Http://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg,Cocktail Glass,Dry Vermouth,,,,,,,Gin,Anis,Bitters,Orange Peel,,,,,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,"Turf Cocktail: A sophisticated and aromatic cocktail that blends gin, dry vermouth, and orange bitters. The Turf Cocktail is a classic drink with a herbal and citrusy profile. The combination of gin and vermouth creates a complex and well-rounded flavor, while the orange bitters add a subtle hint of bitterness and aroma. It's a refined choice for those who appreciate the elegance of a well-crafted cocktail.",ml,30,ml,30,ml,1.25,ml,2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Turkeyball,Http://www.thecocktaildb.com/images/media/drink/rxurpr1441554292.jpg,Shot Glass,Wild Turkey,,,,,,,Amaretto,Pineapple Juice,,,,,,,Shake with ice and strain into a shot glass.,"Turkeyball: A festive and flavorful cocktail that combines bourbon, cranberry juice, ginger ale, and a squeeze of lime. The Turkeyball is a seasonal drink often enjoyed during Thanksgiving or holiday gatherings. The combination of bourbon's warm and caramel notes with the tartness of cranberry juice creates a delightful and comforting flavor. The addition of ginger ale and lime adds a refreshing twist, making it a perfect accompaniment to festive celebrations.",ml,30,ml,22.5,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Tuxedo Cocktail,Http://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg,Cocktail Glass,Dry Vermouth,,,,,,,Gin,Maraschino Liqueur,Anis,Orange Bitters,Cherry,,,,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,"Tuxedo Cocktail: An elegant and sophisticated cocktail that blends gin, dry vermouth, maraschino liqueur, and orange bitters. The Tuxedo Cocktail is a classic choice for those who appreciate the complexity of flavors in a well-made martini. The combination of gin, vermouth, and maraschino liqueur creates a harmonious balance of herbal, floral, and citrus notes. Served in a chilled glass with a cherry garnish, it's a drink that exudes timeless elegance.",ml,45,ml,45,ml,1.25,ml,1.25,ml,2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Valencia Cocktail,Http://www.thecocktaildb.com/images/media/drink/9myuc11492975640.jpg,Cocktail Glass,Apricot Brandy,,,,,,,Orange Juice,Orange Bitters,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Valencia Cocktail: A vibrant and citrusy cocktail that combines orange juice, gin, and orange liqueur. The Valencia Cocktail is a refreshing and fruity drink that showcases the bright flavors of oranges. The combination of fresh orange juice, gin's botanicals, and the sweet citrus notes of orange liqueur creates a lively and invigorating cocktail. It's a perfect choice for those who enjoy the zesty and uplifting taste of oranges.",ml,45,ml,15,ml,2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Vampiro,Http://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg,Old-fashioned Glass,Tequila,,,,,,,Tomato Juice,Orange Juice,Lime Juice,Sugar Syrup,Salt,,,,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.","Vampiro: A bold and spicy cocktail that blends tequila, tomato juice, lime juice, orange juice, and hot sauce. ",ml,60,ml,30,ml,30,ml,50,ml,1,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, 
Van Vleet,Http://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg,Old-fashioned Glass,Light Rum,,,,,,,Maple Syrup,Lemon Juice,,,,,,,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.","Van Vleet: A delightful and aromatic cocktail that combines bourbon, elderflower liqueur, lemon juice, and a dash of bitters. The Van Vleet is a sophisticated drink with a balance of sweet, floral, and citrus flavors. The smoothness of bourbon pairs perfectly with the delicate floral notes of elderflower liqueur, while the lemon juice adds a refreshing tartness. Finished with a touch of bitters, it's a cocktail that offers both complexity and elegance.",ml,90,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Vermouth Cassis,Http://www.thecocktaildb.com/images/media/drink/tswpxx1441554674.jpg,Highball Glass,Dry Vermouth,,,,,,,Creme De Cassis,Carbonated Water,,,,,,,"Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve.","Vermouth Cassis: A sophisticated and fruity cocktail that features vermouth, crème de cassis, and a splash of soda water. The Vermouth Cassis is a light and refreshing drink that highlights the herbal and botanical flavors of vermouth combined with the rich sweetness of crème de cassis, a blackcurrant liqueur. The addition of soda water adds a touch of effervescence, making it a perfect choice for those who appreciate a well-balanced and easy-drinking cocktail.",ml,45,ml,22.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Vesper,Http://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg,Cocktail Glass,Gin,,,,,,,Vodka,Lillet Blanc,,,,,,,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.","Vesper: An iconic and potent cocktail made famous by James Bond, the Vesper combines gin, vodka, and Lillet Blanc. This classic cocktail is known for its strong and sophisticated profile. The blend of gin and vodka creates a powerful base, while the Lillet Blanc, a French aperitif wine, adds a subtle sweetness and herbal complexity. Served in a martini glass with a lemon twist, the Vesper is a drink that embodies the suave and adventurous spirit of 007.",ml,60,ml,50,ml,750,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Vesuvio,Http://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg,Old-fashioned Glass,Light Rum,,,,,,,Sweet Vermouth,Lemon,Powdered Sugar,Egg White,,,,,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.","Vesuvio: A fiery and exotic cocktail that blends rum, amaretto liqueur, and lime juice. The Vesuvio is a tropical-inspired drink with a punch of flavors. The combination of rum's rich and caramel notes, the nutty sweetness of amaretto liqueur, and the tartness of lime juice creates a vibrant and well-balanced cocktail. It's a perfect choice for those who enjoy a taste of the tropics with a touch of indulgence.",ml,30,ml,15,, ,ml,5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Veteran,Http://www.thecocktaildb.com/images/media/drink/iwml9t1492976255.jpg,Old-fashioned Glass,Dark Rum,,,,,,,Cherry Brandy,,,,,,,,Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.,"Veteran: A strong and bold cocktail that combines rye whiskey, sweet vermouth, and a dash of bitters. The Veteran is a classic drink that pays homage to the timeless combination of whiskey and vermouth. The robust and spicy flavors of rye whiskey are complemented by the smoothness and sweetness of vermouth, while the bitters add depth and complexity. Served over ice and garnished with a cherry, it's a cocktail that embodies the spirit of old-fashioned sophistication.",ml,60,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
