Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Measure1,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Description
Shanghai Cocktail,Http://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg,Cocktail Glass,Light Rum,,,,,,,Anisette,Grenadine,Lemon,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz Jamaican ,,,,,,,1 tsp ,1/2 tsp ,Juice of 1/4 ,,,,,,"Shanghai Cocktail: A sophisticated and exotic cocktail that combines gin, sweet vermouth, orange juice, and grenadine. The Shanghai Cocktail offers a harmonious blend of flavors, with the gin's botanical notes complementing the sweetness of the vermouth and the citrusy brightness of the orange juice. It's a classy choice for those seeking a touch of elegance in their drink."
Shark Attack,Http://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,Pitcher,Lemonade,,,,,,,Water,Vodka,,,,,,,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,1 can ,,,,,,,3 cans ,1 1/2 cup ,,,,,,,"Shark Attack: A fun and visually striking cocktail that is sure to make a splash at any gathering. It features blue curaçao, vodka, raspberry liqueur, and lemon-lime soda. The Shark Attack offers a vibrant blue drink with a sweet and fruity taste, perfect for those who enjoy tropical and colorful cocktails."
Sherry Eggnog,Http://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg,Collins Glass,Sherry,,,,,,,Powdered Sugar,Egg,Milk,Nutmeg,,,,,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",2 oz cream ,,,,,,,1 tsp ,1 whole ,,,,,,,"Sherry Eggnog: A festive twist on the classic eggnog, incorporating the unique flavors of sherry wine. It combines sherry, rum, milk, cream, sugar, eggs, and a hint of nutmeg for garnish. The Sherry Eggnog offers a creamy and indulgent drink with a subtle nutty and fortified wine undertone, making it a delightful choice for the holiday season."
Sherry Flip,Http://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg,Whiskey Sour Glass,Sherry,,,,,,,Light Cream,Powdered Sugar,Egg,Nutmeg,,,,,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,1 1/2 oz cream ,,,,,,,2 tsp ,1 tsp ,1 whole ,,,,,,"Sherry Flip: A rich and velvety cocktail that combines sherry, brandy, sugar, and a whole egg. The Sherry Flip is a creamy and decadent drink with a smooth texture and a hint of nuttiness from the sherry. The addition of a whole egg adds a luxurious richness to the cocktail."
Shot-gun,Http://www.thecocktaildb.com/images/media/drink/2j1m881503563583.jpg,Shot Glass,Jim Beam,,,,,,,Jack Daniels,Wild Turkey,,,,,,,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,1 part ,,,,,,,1 part ,1 oz ,,,,,,,"Shot-gun: A potent and fiery cocktail that combines equal parts of bourbon whiskey and cinnamon schnapps. The Shot-gun is a bold and intense drink with a warm and spicy kick, perfect for those who enjoy strong and robust drinks."
Sidecar,Http://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg,Cocktail Glass,Cognac,,,,,,,Cointreau,Lemon Juice,,,,,,,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,2 oz ,,,,,,,1/2 oz ,1 oz ,,,,,,,"Sidecar: A classic cocktail with a timeless appeal, the Sidecar is made with cognac, orange liqueur (such as Cointreau or Grand Marnier), and lemon juice. It's a sophisticated and well-balanced drink that exudes elegance. The Sidecar offers a harmonious combination of rich, aged spirits and citrusy brightness, resulting in a smooth and refreshing cocktail."
Sidecar Cocktail,Http://www.thecocktaildb.com/images/media/drink/ewjxui1504820428.jpg,Cocktail Glass,Brandy,,,,,,,Triple Sec,Lemon,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1/2 oz ,Juice of 1/4 ,,,,,,,"Sidecar Cocktail: Another variation of the Sidecar, the Sidecar Cocktail incorporates brandy, lemon juice, and simple syrup. It's a twist on the classic recipe, adding a touch of sweetness to balance the tartness of the lemon. Served in a chilled glass with a sugared rim, the Sidecar Cocktail is a sophisticated and flavorful choice."
Singapore Sling,Http://www.thecocktaildb.com/images/media/drink/tvtrrt1439906288.jpg,Hurricane Glass,Cherry Brandy,,,,,,,Grenadine,Gin,Sweet And Sour,Carbonated Water,Cherry,,,,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,1/2 oz ,,,,,,,1/2 oz ,1 oz ,2 oz ,,,,,,"Singapore Sling: A legendary cocktail originating from Singapore, the Singapore Sling is a vibrant and complex drink. It typically includes gin, cherry liqueur, pineapple juice, lime juice, Cointreau, and grenadine. The Singapore Sling offers a fruity and tropical flavor profile with a hint of herbal and citrus notes, making it a delightful and refreshing option."
Sloe Gin Cocktail,Http://www.thecocktaildb.com/images/media/drink/d7mo481504889531.jpg,Cocktail Glass,Sloe Gin,,,,,,,Dry Vermouth,Orange Bitters,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",2 oz ,,,,,,,1/4 tsp ,1 dash ,,,,,,,"Sloe Gin Cocktail: A cocktail that showcases the unique and distinctive flavor of sloe gin, a liqueur made from sloe berries. It combines sloe gin, lemon juice, and simple syrup. The Sloe Gin Cocktail offers a balanced blend of fruity sweetness and tartness, with a hint of botanicals from the gin. It's a lovely choice for those looking for a fruity and lightly floral drink."
Smut,Http://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg,Beer Mug,Red Wine,,,,,,,Peach Schnapps,Pepsi Cola,Orange Juice,,,,,,Throw it all together and serve real cold.,1/3 part ,,,,,,,1 shot ,1/3 part ,1/3 part ,,,,,,"Smut: An intriguing and robust cocktail that features dark rum, coffee liqueur, orange liqueur, and bitters. The Smut offers a complex and aromatic drink with layers of flavors, including the richness of rum, the bitterness of coffee, and the citrusy sweetness of orange. Served over ice, it's a bold and flavorful choice for cocktail enthusiasts."
Snake Bite (uk),Http://www.thecocktaildb.com/images/media/drink/xuwpyu1441248734.jpg,Pint Glass,Lager,,,,,,,Cider,,,,,,,,Pour ingredients into a pint glass. Drink. Fall over.,1/2 pint ,,,,,,,1/2 pint sweet or dry ,,,,,,,,"Snake Bite (UK): A popular beer cocktail in the UK, the Snake Bite combines equal parts lager beer and hard cider. It's a refreshing and effervescent drink with a crisp and tangy flavor. The Snake Bite is a perfect choice for those who enjoy light and fruity beer cocktails, offering a delightful blend of beer and cider."
Snakebite And Black,Http://www.thecocktaildb.com/images/media/drink/rssvwv1441248863.jpg,Pint Glass,Lager,,,,,,,Cider,Blackcurrant Squash,,,,,,,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.,1/2 pint ,,,,,,,1/2 pint ,A little bit of ,,,,,,,"Snakebite and Black: Another variation of the Snake Bite, the Snakebite and Black adds a splash of blackcurrant cordial or blackcurrant liqueur to the classic combination of lager and hard cider. The addition of blackcurrant gives the drink a fruity and slightly sweet twist, enhancing the overall flavor profile."
Snowball,Http://www.thecocktaildb.com/images/media/drink/7ibfs61504735416.jpg,Highball Glass,Advocaat,,,,,,,Lemonade,Lemon,Ice,,,,,,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,1 1/2 oz ,,,,,,,8-10 oz cold ,1 slice ," cubes
",,,,,,"Snowball: A creamy and indulgent cocktail that is popular during the holiday season, the Snowball combines advocaat (a rich and creamy Dutch liqueur), lemonade or lemon-lime soda, and a squeeze of lime juice. The Snowball offers a velvety texture with a sweet and tangy taste, reminiscent of a lemon meringue pie. Garnished with a maraschino cherry, it's a festive and delightful treat."
Sol Y Sombra,Http://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,Brandy Snifter,Brandy,,,,,,,Anisette,,,,,,,,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",1 1/2 oz ,,,,,,,1 1/2 oz ,,,,,,,,"Sol Y Sombra: A Spanish-inspired cocktail that translates to ""sun and shade,"" the Sol Y Sombra combines equal parts anise liqueur (such as Pernod or absinthe) and brandy. It's a unique and aromatic drink with a strong anise flavor and a warm, boozy kick from the brandy. Served neat or over ice, the Sol Y Sombra is a bold choice for those who appreciate the distinct taste of anise."
Space Odyssey,Http://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,Highball Glass,151 Proof Rum,,,,,,,Malibu Rum,Pineapple Juice,Orange Juice,Grenadine,Cherries,,,,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,1 shot Bacardi ,,,,,,,1 shot ,1 shot ,,,,,,,"Space Odyssey: An out-of-this-world cocktail that combines vodka, blue curaçao, lime juice, and lemon-lime soda. The Space Odyssey offers a vibrant blue drink with a zesty and tasty tang."
Spanish Chocolate,Http://www.thecocktaildb.com/images/media/drink/pra8vt1487603054.jpg,Coffee Mug,Milk,,,,,,,Chocolate,Cinnamon,Egg Yolk,,,,,,"Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug.",2 cups ,,,,,,,2 oz sweet ,1/2 tsp ,2 beaten ,,,,,,"Spanish Chocolate: A rich and velvety beverage made with dark chocolate, milk, sugar, and a hint of cinnamon. Spanish Chocolate is a traditional drink enjoyed in Spain, especially during the colder months. It has a luscious and indulgent taste, perfect for chocolate lovers seeking a comforting and warming treat."
Spiced Peach Punch,Http://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,Collins Glass,Peach Nectar,,,,,,,Orange Juice,Brown Sugar,Cinnamon,Cloves,Lime Juice,,,,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs.",46 oz ,,,,,,,20 oz ,1/2 cup ,3 3-inch ,1/2 tsp ,2 tblsp ,,,,"Spiced Peach Punch: A delightful punch that combines the flavors of ripe peaches, spices, citrus, and a splash of sparkling water. Spiced Peach Punch is a refreshing and fruity drink with a hint of warmth from spices like cinnamon and nutmeg. It's an excellent choice for summer gatherings or brunches, offering a burst of peachy goodness."
Spiking Coffee,Http://www.thecocktaildb.com/images/media/drink/isql6y1487602375.jpg,Coffee Mug,Coffee,,,,,,,Cinnamon,,,,,,,,"Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug.",,,,,,,,,,,,,,,,"Spiking Coffee: For coffee lovers who enjoy a spirited twist, spiking coffee with a shot of liqueur adds a flavorful kick. Whether it's Irish cream liqueur, coffee liqueur, or a hint of whiskey, spiking coffee elevates the flavors and creates a delightful blend of rich coffee and boozy notes. It's a cozy and comforting choice for those seeking a little extra indulgence in their coffee."
Spritz,Http://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,Old-fashioned Glass,Prosecco,,,,,,,Campari,Soda Water,,,,,,,"Build into glass over ice, garnish and serve.",6 cl,,,,,,,4 cl,splash,,,,,,,"Spritz: A popular Italian aperitif, the Spritz is a refreshing and effervescent cocktail that combines prosecco, Aperol (or Campari), and soda water. It's a light and citrusy drink with a bitter-sweet taste profile, perfect for sipping on warm summer afternoons. Garnished with a slice of orange, the Spritz adds a touch of elegance to any gathering."
Stinger,Http://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,Cocktail Glass,Brandy,,,,,,,White Creme De Menthe,,,,,,,,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",1 1/2 oz ,,,,,,,1/2 oz ,,,,,,,,"Stinger: A classic cocktail that dates back to the early 20th century, the Stinger mixes brandy and crème de menthe. It's a simple yet sophisticated drink with a cool and minty flavor. The Stinger is often enjoyed as an after-dinner digestif, providing a refreshing and minty finish to a meal."
Stone Sour,Http://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg,Whiskey Sour Glass,Apricot Brandy,,,,,,,Orange Juice,Sweet And Sour,,,,,,,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",1 oz ,,,,,,,1 oz ,1 oz ,,,,,,,"Stone Sour: A vibrant and fruity cocktail that combines whiskey, orange juice, and lemon juice. The Stone Sour offers a balanced blend of citrusy tang and the smoothness of whiskey. It's a versatile drink that can be enjoyed on its own or as a base for creative variations, making it a go-to choice for whiskey enthusiasts."
Strawberry Daiquiri,Http://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,Cocktail Glass,Strawberry Schnapps,,,,,,,Light Rum,Lime Juice,Powdered Sugar,Strawberries,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1/2 oz ,,,,,,,1 oz ,1 oz ,1 tsp ,1 oz ,,,,,"Strawberry Daiquiri: A classic frozen cocktail that features fresh strawberries, rum, lime juice, and simple syrup. The Strawberry Daiquiri is a sweet and refreshing drink with a vibrant red color. Blended with ice, it offers a smooth and fruity texture, making it a popular choice for summer parties or beachside lounging."
Strawberry Lemonade,Http://www.thecocktaildb.com/images/media/drink/spvvxp1468924425.jpg,Collins Glass,Lemon,,,,,,,Sugar,Strawberries,Water,,,,,,Throw everything into a blender and mix until fairly smooth. Serve over ice.,Juice of 1 ,,,,,,,1 tblsp ,8-10 ripe ,1 cup ,,,,,,"Strawberry Lemonade: A delightful and thirst-quenching beverage that combines fresh strawberries, lemon juice, sugar, and water. Strawberry Lemonade is a perfect balance of tart and sweet, with the natural sweetness of strawberries complementing the citrusy tang of lemons. It's a vibrant and summery drink that brings a burst of fruity flavor to any occasion."
Strawberry Margarita,Http://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,Cocktail Glass,Strawberry Schnapps,,,,,,,Tequila,Triple Sec,Lemon Juice,Strawberries,Salt,,,,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",1/2 oz ,,,,,,,1 oz ,1/2 oz ,1 oz ,1 oz ,,,,,"Strawberry Margarita: A fruity twist on the classic Margarita, the Strawberry Margarita adds fresh strawberries or strawberry puree to the mix of tequila, lime juice, and orange liqueur. It's a vibrant and tangy cocktail with a hint of sweetness from the strawberries. Served on the rocks or blended, the Strawberry Margarita is a crowd-pleasing choice for fiestas and gatherings."
Strawberry Shivers,Http://www.thecocktaildb.com/images/media/drink/9h1vvt1487603404.jpg,Highball Glass,Strawberries,,,,,,,Honey,Water,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",1 1/2 cup ,,,,,,,4 tsp ,1/2 cup ,,,,,,,"Strawberry Shivers: A creamy and indulgent cocktail that blends strawberries, vanilla ice cream, vodka, and a splash of milk. The Strawberry Shivers offers a luscious and dessert-like experience, reminiscent of a strawberry milkshake with a boozy twist. Garnished with whipped cream and a strawberry, it's a delightful treat for those with a sweet tooth."
Sunny Holiday Punch,Http://www.thecocktaildb.com/images/media/drink/rywtwy1468924758.jpg,Punch Bowl,Pineapple Juice,,,,,,,Club Soda,Orange Juice,Lemon,Berries,Champagne,,,,Combine all ingredients in a punch bowl.,46 oz chilled ,,,,,,,28 oz ,6 oz frozen ,1 ,2 cups ,1 bottle ,,,,"Sunny Holiday Punch: A delightful and tropical-inspired punch that captures the flavors of sunshine and vacation. This refreshing concoction combines pineapple juice, orange juice, lemonade, and a splash of grenadine for a vibrant burst of fruity goodness. It's a perfect choice for summer parties or beachside gatherings, bringing a taste of the tropics to your glass."
Surf City Lifesaver,Http://www.thecocktaildb.com/images/media/drink/2rzfer1487602699.jpg,Highball Glass,Ouzo,,,,,,,Bailey's Irish Cream,Gin,Grand Marnier,,,,,,Lots of ice and soda top up in tall glass with cherry and a grin.,1 part ,,,,,,,1 part ,2 parts ,1/2 part ,,,,,,"Surf City Lifesaver: A cool and invigorating cocktail that blends rum, blue curaçao, pineapple juice, and a splash of lime. The Surf City Lifesaver is a vibrant and visually appealing drink with its blue hue and tropical flavors. Sipping on this cocktail feels like a seaside escape, making it a popular choice for those craving a taste of paradise."
Swedish Coffee,Http://www.thecocktaildb.com/images/media/drink/ywtrvt1441246783.jpg,Coffee Mug,Coffee,,,,,,,Aquavit,Sugar,,,,,,,Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning),1 cup,,,,,,,4 cl ,By taste ,,,,,,,"Swedish Coffee: A cozy and comforting beverage that combines coffee, aquavit (a Scandinavian spirit), and a touch of sugar. Swedish Coffee is a warming drink with a unique twist, adding the herbal and spicy notes of aquavit to the rich and robust flavor of coffee. It's a perfect choice for chilly evenings or as an after-dinner treat."
Sweet Bananas,Http://www.thecocktaildb.com/images/media/drink/sxpcj71487603345.jpg,Highball Glass,Milk,,,,,,,Banana,Honey,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",2 cups ,,,,,,,1 ,1 tblsp ,,,,,,,"Sweet Bananas: A creamy and fruity cocktail that features ripe bananas, coconut cream, pineapple juice, and a splash of rum. Sweet Bananas is a tropical delight with its smooth and luscious texture, reminiscent of a banana milkshake with a Caribbean twist. Served garnished with a slice of banana or a pineapple wedge, it's a dessert-like drink that satisfies your sweet cravings."
Sweet Sangria,Http://www.thecocktaildb.com/images/media/drink/uqqvsp1468924228.jpg,Pitcher,Red Wine,,,,,,,Sugar,Water,Apple,Orange,Lime,Lemon,Fresca,,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw.",2 bottles ,,,,,,,1 cup ,2 cups hot ,1 cup ," wedges
"," wedges
",,,,"Sweet Sangria: A fruity and refreshing wine-based punch that combines red or white wine, chopped fruits, orange juice, and a touch of brandy or liqueur. Sweet Sangria is a crowd-pleasing drink with its vibrant colors and sweet flavors. It's best enjoyed chilled, allowing the fruits to infuse the wine with their natural sweetness, making it a go-to choice for summer parties or outdoor gatherings."
Sweet Tooth,Http://www.thecocktaildb.com/images/media/drink/j6rq6h1503563821.jpg,Highball Glass,Godiva Liqueur,,,,,,,Milk,,,,,,,,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like.",2 shots ,,,,,,,,,,,,,,,"Sweet Tooth: A decadent and dessert-inspired cocktail that blends vanilla vodka, chocolate liqueur, and cream. The Sweet Tooth is a creamy and indulgent drink that satisfies your cravings for something sweet. It's like a liquid dessert, combining the flavors of chocolate and vanilla in a smooth and velvety concoction."
Talos Coffee,Http://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,Brandy Snifter,Grand Marnier,,,,,,,Coffee,,,,,,,,Add your GM and then add your coffee.,3 parts ,,,,,,,1 part ,,,,,,,,"Talos Coffee: A bold and invigorating coffee cocktail that combines strong coffee, tequila, and a hint of cinnamon. Talos Coffee is a drink that packs a punch, offering a delightful blend of rich coffee flavor with the warmth of tequila and the aromatic touch of cinnamon. It's a perfect choice for coffee lovers who enjoy a spirited twist in their morning brew."
Tennesee Mud,Http://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg,Coffee Mug,Coffee,,,,,,,Jack Daniels,Amaretto,Whipped Cream,,,,,,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.",8 oz ,,,,,,,4 oz ,4 oz ,,,,,,,"Tennesee Mud: A rich and boozy cocktail that combines whiskey, coffee liqueur, and cream. Tennesee Mud is a smooth and indulgent drink with its combination of whiskey's warmth, coffee liqueur's deep flavor, and the creamy texture of the cream. Served over ice, it's a perfect nightcap or a treat for whiskey enthusiasts."
Tequila Fizz,Http://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg,Collins Glass,Tequila,,,,,,,Lemon Juice,Grenadine,Egg White,Ginger Ale,,,,,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.",2 oz ,,,,,,,1 tblsp ,3/4 oz ,1 ,,,,,,"Tequila Fizz: A refreshing and effervescent cocktail that combines tequila, lemon juice, simple syrup, and soda water. The Tequila Fizz is a zesty and bubbly drink with a citrusy kick from the lemon juice. It's a lighter alternative to margaritas, offering a crisp and invigorating option for tequila lovers."
Tequila Sour,Http://www.thecocktaildb.com/images/media/drink/ek0mlq1504820601.jpg,Whiskey Sour Glass,Tequila,,,,,,,Lemon,Powdered Sugar,Lemon,Cherry,,,,,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.",2 oz ,,,,,,,Juice of 1/2 ,1 tsp ,1/2 slice ,1 ,,,,,"Tequila Sour: A tangy and tart cocktail that combines tequila, lime juice, and simple syrup. The Tequila Sour is a classic drink with a bold and refreshing flavor profile. The zingy acidity of the lime juice balances perfectly with the tequila, creating a well-rounded and citrusy cocktail."
Tequila Sunrise,Http://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,Highball Glass,Tequila,,,,,,,Orange Juice,Grenadine,,,,,,,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",2 measures ,,,,,,,,,,,,,,,"Tequila Sunrise: A vibrant and visually stunning cocktail that features tequila, orange juice, and grenadine. The Tequila Sunrise is an iconic drink known for its beautiful gradient colors, reminiscent of a sunrise. The tequila provides a smooth and slightly earthy base, while the orange juice adds a refreshing citrus note. The grenadine syrup is carefully poured to create a sunrise effect, with its deep red color sinking through the drink. It's a delightful and visually appealing cocktail that's perfect for brunch or anytime you want to add a touch of elegance to your glass."
Tequila Surprise,Http://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg,Shot Glass,Tequila,,,,,,,Tabasco Sauce,,,,,,,,Fill shot glass with Tequila. Add drops of Tobasco sauce.,full glass ,,,,,,,About 8 drops ,,,,,,,,"Tequila Surprise: A playful and adventurous cocktail that combines tequila, grapefruit juice, lime juice, and a pinch of salt. The Tequila Surprise is a tangy and invigorating drink with a twist. The salt rim enhances the flavors and adds a unique savory element to the cocktail, balancing the sweetness of the grapefruit juice. It's a bold and surprising choice for those who enjoy a bit of excitement in their drinks."
Texas Rattlesnake,Http://www.thecocktaildb.com/images/media/drink/rtohqp1504889750.jpg,Highball Glass,Yukon Jack,,,,,,,Cherry Brandy,Southern Comfort,Sweet And Sour,,,,,,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end...",1 part ,,,,,,,1/2 part ,1 part ,1 splash ,,,,,,"Texas Rattlesnake: A bold and fiery cocktail that combines whiskey, tequila, lime juice, grenadine, and a few dashes of hot sauce. The Texas Rattlesnake is a drink that packs a punch with its combination of spirits and spicy kick. The whiskey and tequila create a robust base, while the lime juice and grenadine add a touch of sweetness. The hot sauce brings the heat, making it a drink for those who like their cocktails with a bit of fire."
Texas Sling,Http://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,Wine Glass,Kahlua,,,,,,,Irish Cream,Amaretto,151 Proof Rum,Cream,,,,,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.",1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,1 oz ,,,,,"Texas Sling: A refreshing and fruity cocktail that blends gin, cherry brandy, lemon juice, and soda water. The Texas Sling is a vibrant and lively drink with its combination of gin's botanical flavors and the sweetness of cherry brandy. The lemon juice adds a tangy note, and the soda water gives it a sparkling effervescence. It's a delightful choice for those seeking a fruity and invigorating cocktail."
Thai Coffee,Http://www.thecocktaildb.com/images/media/drink/wquwxs1441247025.jpg,Highball Glass,Coffee,,,,,,,Coriander,Cardamom,Sugar,Whipping Cream,Ice,,,,"Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away.",6 tblsp ground,,,,,,,1/4 tsp ,4-5 whole green ,,,,,,,"Thai Coffee: A flavorful and aromatic coffee-based cocktail that combines brewed coffee, Thai tea, sweetened condensed milk, and a splash of rum or liqueur. Thai Coffee is a unique and indulgent drink with its combination of rich coffee, the distinct flavor of Thai tea, and the creamy sweetness of condensed milk. Served over ice, it's a delightful blend of cultures and flavors that transports you to the streets of Thailand."
Thai Iced Coffee,Http://www.thecocktaildb.com/images/media/drink/rqpypv1441245650.jpg,Highball Glass,Coffee,,,,,,,Sugar,Cream,Cardamom,,,,,,"Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee.",black,,,,,,,," pods
",,,,,,,"Thai Iced Coffee: A refreshing and sweet iced coffee drink that combines strong brewed coffee, sweetened condensed milk, and a hint of cardamom or cinnamon. Thai Iced Coffee is a popular beverage known for its bold flavors and creamy texture. The addition of spices adds a delightful twist to the traditional iced coffee, creating a drink that's both comforting and invigorating."
Thai Iced Tea,Http://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,Highball Glass,Tea,,,,,,,Water,Condensed Milk,Ice,Mint,,,,,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.",1/4 cup Thai ,,,,,,,1/2 cup boiling ,2 tsp sweetened ," cubes
",,,,,,"Thai Iced Tea: A creamy and fragrant iced tea beverage that combines brewed Thai tea, sweetened condensed milk, and a touch of vanilla or almond extract. Thai Iced Tea is a popular drink known for its vibrant orange color and distinctive flavor. The sweetened condensed milk gives it a rich and creamy texture, while the tea imparts a unique floral and slightly spiced note. Served over ice, it's a delightful treat that's both refreshing and satisfying."
The Evil Blue Thing,Http://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg,Old-fashioned Glass,Creme De Cacao,,,,,,,Blue Curacao,Light Rum,,,,,,,"Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun"".",1 1/2 oz ,,,,,,,1 oz ,1/2 oz ,,,,,,,"The Evil Blue Thing: A bold and electrifying cocktail that combines vodka, blue curaçao, lemon juice, and a splash of lemon-lime soda. The Evil Blue Thing is a visually striking drink with its intense blue color and vibrant citrus flavors. It's a perfect choice for those looking for a fun and eye-catching cocktail that's sure to make a statement at any gathering."
Thriller,Http://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg,Cocktail Glass,Scotch,,,,,,,Wine,Orange Juice,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",1 1/2 oz ,,,,,,,1 oz Green Ginger ,1 oz ,,,,,,,"Thriller: A tantalizing and mysterious cocktail that blends rum, amaretto, orange juice, and grenadine. The Thriller is a smooth criminal."
